,bw,loglambda,contam_data,IFsupnorm_ML,IFsupnorm_SM
0,5.0,-8.0,5.0,83.3144859381747,1455.663776978245
1,5.0,-8.0,10.0,89.1521706314613,678.3265383232385
2,5.0,-8.0,15.0,89.33681199754062,423.16526586498696
3,5.0,-8.0,20.0,89.06272179053332,299.7446372512328
4,5.0,-8.0,25.0,87.7850989473643,229.69914968636337
5,5.0,-8.0,30.0,83.21362069778004,187.37829454715765
6,5.0,-8.0,35.0,71.04442981854397,161.18939903734807
7,5.0,-8.0,40.0,48.57582780046066,106.41973328783827
8,5.0,-8.0,45.0,22.44025801347771,96.52736409747753
9,5.0,-8.0,50.0,6.864742319509176,13.862246047951166
10,5.0,-8.0,55.0,5.237771259828605,8.88303198916579
11,5.0,-8.0,60.0,8.233048914237706,13.457995347015528
12,5.0,-8.0,65.0,10.125533304917944,18.92651943631862
13,5.0,-8.0,70.0,7.655343437752649,13.861671064817616
14,5.0,-8.0,75.0,3.920070677812415,7.024357118466273
15,5.0,-8.0,80.0,2.80380749669229,5.499085818642557
16,5.0,-8.0,85.0,3.6172519674679826,6.592387486606732
17,5.0,-8.0,90.0,7.830918825363575,10.678321450574735
18,5.0,-8.0,95.0,20.13588240218045,31.077779593804642
19,5.0,-8.0,100.0,38.58316061688427,95.23203550247095
20,5.0,-8.0,105.0,55.10698992006802,122.80415743823613
21,5.0,-8.0,110.0,66.19650197854021,127.00832583561733
22,5.0,-8.0,115.0,73.52324429550272,126.60890870940456
23,5.0,-8.0,120.0,78.85693205104616,127.99946651191688
24,5.0,-8.0,125.0,82.95022965950238,128.8588807279057
25,5.0,-8.0,130.0,85.88370484883612,129.6483736065996
26,5.0,-8.0,135.0,87.66333972441309,130.4404655431163
27,5.0,-8.0,140.0,88.6007305257035,131.22816111898342
28,5.0,-8.0,145.0,89.05094774145184,131.9985975334734
29,5.0,-8.0,150.0,89.2487152594299,132.7434657002316
30,5.0,-8.0,155.0,89.32143850427288,133.4580487768927
31,5.0,-8.0,160.0,89.34896358850786,134.139756663811
32,5.0,-8.0,165.0,89.37045268955046,134.78861997937585
33,5.0,-8.0,170.0,89.38442208761899,135.4343728385928
34,5.0,-8.0,175.0,89.38859639717123,136.0471845831288
35,5.0,-8.0,180.0,89.38921987017423,136.6264562644532
36,5.0,-8.0,185.0,89.3896811860877,137.17171184402122
37,5.0,-8.0,190.0,89.38908741701823,137.7167038013721
38,5.0,-8.0,195.0,89.38982820401264,138.23771771916856
39,5.0,-8.0,200.0,89.38878395551697,138.72540450926815
40,5.0,-8.0,205.0,89.38991610512659,139.19296642508334
41,5.0,-8.0,210.0,89.38843306564337,139.66277734399503
42,5.0,-8.0,215.0,89.38995785305082,140.0995621451786
43,5.0,-8.0,220.0,89.38810964972888,140.50898419811986
44,5.0,-8.0,225.0,89.38995382337112,140.9325447156653
45,5.0,-8.0,230.0,89.38849835647744,141.32314885023615
46,5.0,-8.0,235.0,89.38990405775371,141.68939209671834
47,5.0,-8.0,240.0,89.38884133344516,142.0702360195196
48,5.0,-8.0,245.0,89.38980856071055,142.41806485424075
49,5.0,-8.0,250.0,89.38913858136033,142.75293516730423
50,5.0,-8.0,255.0,89.38966733283848,143.09362896312675
51,5.0,-8.0,260.0,89.38939009978952,143.40118263122295
52,5.0,-8.0,265.0,89.38948037447858,143.7141371915644
53,5.0,-8.0,270.0,89.38959588826378,144.01657585085977
54,5.0,-8.0,275.0,89.3892476859719,144.2857208267651
55,5.0,-8.0,280.0,89.389755946371,144.58443408569912
56,5.0,-8.0,285.0,89.38896926693474,144.850039276794
57,5.0,-8.0,290.0,89.38987033953794,145.10961708518676
58,5.0,-8.0,295.0,89.38838397371285,145.3729615682946
59,5.0,-8.0,300.0,89.29479898198878,145.60281709766372
0,5.0,-10.0,5.0,93.47951826373446,6427.41967755396
1,5.0,-10.0,10.0,100.1136488279073,3051.4608447927903
2,5.0,-10.0,15.0,100.32845685585912,1976.2858484590968
3,5.0,-10.0,20.0,99.99971315018286,1483.6491329924315
4,5.0,-10.0,25.0,98.50777334986205,1219.019488791075
5,5.0,-10.0,30.0,93.22056791514832,1122.8564975925215
6,5.0,-10.0,35.0,79.16284815055086,1216.6012511102995
7,5.0,-10.0,40.0,53.35683100526367,442.193439414836
8,5.0,-10.0,45.0,23.719962883109957,218.6485933348339
9,5.0,-10.0,50.0,6.850204170723018,17.428633191507668
10,5.0,-10.0,55.0,5.454559948138371,12.299171198990155
11,5.0,-10.0,60.0,8.44576740013192,16.493078581949703
12,5.0,-10.0,65.0,10.43475523368631,27.943938198487615
13,5.0,-10.0,70.0,7.837397499455889,18.660003691874817
14,5.0,-10.0,75.0,3.9256390882838055,8.072434942513972
15,5.0,-10.0,80.0,2.8210659902101476,6.918112467050874
16,5.0,-10.0,85.0,3.7695765577709928,7.596524579375652
17,5.0,-10.0,90.0,7.947591539220866,14.270672446691112
18,5.0,-10.0,95.0,21.415684698673942,72.11670447623763
19,5.0,-10.0,100.0,42.411368971368546,330.943141472678
20,5.0,-10.0,105.0,61.37526987428199,655.6458237694867
21,5.0,-10.0,110.0,74.05962012166967,969.3180714795255
22,5.0,-10.0,115.0,82.310986571132,901.3916879932962
23,5.0,-10.0,120.0,88.2468958594167,903.2516306476527
24,5.0,-10.0,125.0,92.85235133483916,906.2624536784583
25,5.0,-10.0,130.0,96.24113880671281,908.5561076586897
26,5.0,-10.0,135.0,98.33011465819474,910.6851988392679
27,5.0,-10.0,140.0,99.44974679092056,912.7378664381079
28,5.0,-10.0,145.0,99.99718089481746,914.9406514792786
29,5.0,-10.0,150.0,100.23560891284689,917.029188979221
30,5.0,-10.0,155.0,100.31704699829547,918.9766791190592
31,5.0,-10.0,160.0,100.34403928766622,920.7732785542524
32,5.0,-10.0,165.0,100.36907158533026,922.7206470334792
33,5.0,-10.0,170.0,100.38717809696607,924.5018775296489
34,5.0,-10.0,175.0,100.39283390107911,926.108216939919
35,5.0,-10.0,180.0,100.39375387496463,927.781384528626
36,5.0,-10.0,185.0,100.39431011864863,929.3897574355892
37,5.0,-10.0,190.0,100.39365013857804,930.8124999673901
38,5.0,-10.0,195.0,100.39447974882165,932.2980973398728
39,5.0,-10.0,200.0,100.39331083167014,933.7319733597673
40,5.0,-10.0,205.0,100.39457816156272,934.9715484877408
41,5.0,-10.0,210.0,100.3929180430454,936.3416833352618
42,5.0,-10.0,215.0,100.39462489335804,937.5986855760854
43,5.0,-10.0,220.0,100.39255601020969,938.6833626580084
44,5.0,-10.0,225.0,100.3946203824313,939.964934307961
45,5.0,-10.0,230.0,100.39299112942501,941.0421465783936
46,5.0,-10.0,235.0,100.3945646746871,942.1031289333273
47,5.0,-10.0,240.0,100.39337505863699,943.2075911909089
48,5.0,-10.0,245.0,100.39445777506728,944.1019524524359
49,5.0,-10.0,250.0,100.39370779865209,945.1767481582898
50,5.0,-10.0,255.0,100.39429968427527,946.1001665045411
51,5.0,-10.0,260.0,100.39398934896582,946.9718413416887
52,5.0,-10.0,265.0,100.39409040265213,947.9277278819515
53,5.0,-10.0,270.0,100.39421970905238,948.6665264071993
54,5.0,-10.0,275.0,100.39382993060997,949.6028521685513
55,5.0,-10.0,280.0,100.39439887846413,950.3746682809355
56,5.0,-10.0,285.0,100.39351826865328,951.1411982712274
57,5.0,-10.0,290.0,100.39452668692661,951.9482314431874
58,5.0,-10.0,295.0,100.3927539929137,952.5563017587541
59,5.0,-10.0,300.0,100.28072117651021,953.400306544866
0,5.0,-12.0,5.0,93.63096406935512,13298.903579566668
1,5.0,-12.0,10.0,100.28775916240562,8367.092468322311
2,5.0,-12.0,15.0,100.50466210658371,7249.004466517606
3,5.0,-12.0,20.0,100.1747668077968,6858.209362915336
4,5.0,-12.0,25.0,98.67838445740418,6685.624986091593
