,bw,loglambda,contam_data,IFsupnorm
18,5.0,-10.0,74.0,10.620380513914895
19,5.0,-10.0,78.0,6.367578364585569
20,5.0,-10.0,82.0,6.7745031362420605
21,5.0,-10.0,86.0,9.358123109759475
22,5.0,-10.0,90.0,14.375417689560521
23,5.0,-10.0,94.0,36.13554295789356
24,5.0,-10.0,98.0,252.146325818714
25,5.0,-10.0,102.0,363.03179382635165
26,5.0,-10.0,106.0,766.2224446924881
27,5.0,-10.0,110.0,971.0908134952234
28,5.0,-10.0,114.0,927.0685731643802
29,5.0,-10.0,118.0,951.3216422285531
30,5.0,-10.0,122.0,962.2117229546312
31,5.0,-10.0,126.0,968.7909304334496
32,5.0,-10.0,130.0,974.7721775865692
33,5.0,-10.0,134.0,980.8322541604575
34,5.0,-10.0,138.0,986.4987042917938
35,5.0,-10.0,142.0,992.3381877219306
36,5.0,-10.0,146.0,997.8749880068527
37,5.0,-10.0,150.0,1003.2321795305776
38,5.0,-10.0,154.0,1008.5397749937108
39,5.0,-10.0,158.0,1013.4628763203146
40,5.0,-10.0,162.0,1018.4941472979325
41,5.0,-10.0,166.0,1023.0476898631657
42,5.0,-10.0,170.0,1027.779669759976
43,5.0,-10.0,174.0,1032.0256861096054
44,5.0,-10.0,178.0,1036.441984081371
45,5.0,-10.0,182.0,1040.4377894568383
46,5.0,-10.0,186.0,1044.5239984280263
47,5.0,-10.0,190.0,1048.31904127467
48,5.0,-10.0,194.0,1052.0630795429752
49,5.0,-10.0,198.0,1055.6999150090896
50,5.0,-10.0,202.0,1059.090764599091
51,5.0,-10.0,206.0,1062.6064076868502
52,5.0,-10.0,210.0,1065.6341394077451
53,5.0,-10.0,214.0,1069.0607811891794
54,5.0,-10.0,218.0,1072.0015424570129
55,5.0,-10.0,222.0,1075.0822728278208
56,5.0,-10.0,226.0,1077.983236963398
57,5.0,-10.0,230.0,1080.6876219460194
58,5.0,-10.0,234.0,1083.571337090472
59,5.0,-10.0,238.0,1086.0165539416932
60,5.0,-10.0,242.0,1088.7778971402363
61,5.0,-10.0,246.0,1091.2416490316268
62,5.0,-10.0,250.0,1093.613616154343
63,5.0,-10.0,254.0,1096.1121054031687
64,5.0,-10.0,258.0,1098.207420124897
65,5.0,-10.0,262.0,1100.635711059894
66,5.0,-10.0,266.0,1102.7925396533967
67,5.0,-10.0,270.0,1104.8195248442028
68,5.0,-10.0,274.0,1107.0497353382614
69,5.0,-10.0,278.0,1108.9038307376952
70,5.0,-10.0,282.0,1110.9842001810755
71,5.0,-10.0,286.0,1112.9321997649376
72,5.0,-10.0,290.0,1114.600753038264
73,5.0,-10.0,294.0,1116.651463384244
74,5.0,-10.0,298.0,1118.3472912290604
75,5.0,-10.0,302.0,1120.0652132781208
76,5.0,-10.0,306.0,1121.8798059653423
77,5.0,-10.0,310.0,1123.34925800317
78,5.0,-10.0,314.0,1125.1168103965092
79,5.0,-10.0,318.0,1126.7188905761393
80,5.0,-10.0,322.0,1128.0609038211153
81,5.0,-10.0,326.0,1129.8011108995531
82,5.0,-10.0,330.0,1131.2111561578852
83,5.0,-10.0,334.0,1132.5978901299827
84,5.0,-10.0,338.0,1134.1572103140684
85,5.0,-10.0,342.0,1135.393085360814
86,5.0,-10.0,346.0,1136.8239167586225
87,5.0,-10.0,350.0,1138.2188424891026
88,5.0,-10.0,354.0,1139.296214003327
89,5.0,-10.0,358.0,1140.7702300569865
90,5.0,-10.0,362.0,1142.0152682850571
91,5.0,-10.0,366.0,1143.0484750163394
92,5.0,-10.0,370.0,1144.4640228175374
93,5.0,-10.0,374.0,1145.571993177441
94,5.0,-10.0,378.0,1146.643452942797
95,5.0,-10.0,382.0,1147.9290709326406
96,5.0,-10.0,386.0,1148.9113509677295
97,5.0,-10.0,390.0,1150.0199605274374
98,5.0,-10.0,394.0,1151.186253756098
99,5.0,-10.0,398.0,1152.0529819231128
100,5.0,-10.0,402.0,1153.1975416367857
101,5.0,-10.0,406.0,1154.2539821274288
0,5.0,-12.0,2.0,232239.70261301295
1,5.0,-12.0,6.0,73032.20237855345
2,5.0,-12.0,10.0,41335.81606200476
3,5.0,-12.0,14.0,27887.56057565678
4,5.0,-12.0,18.0,20530.1604255137
5,5.0,-12.0,22.0,15579.7071593744
6,5.0,-12.0,26.0,9575.84426903857
7,5.0,-12.0,30.0,8343.279507627698
8,5.0,-12.0,34.0,9067.17666282475
9,5.0,-12.0,38.0,24326.10278733094
10,5.0,-12.0,42.0,1956.144860049136
11,5.0,-12.0,46.0,194.10120868368352
12,5.0,-12.0,50.0,84.79317177290113
13,5.0,-12.0,54.0,57.46974176545905
14,5.0,-12.0,58.0,18.41481485076457
15,5.0,-12.0,62.0,20.311314874454922
16,5.0,-12.0,66.0,32.60958036932493
17,5.0,-12.0,70.0,23.431322504485763
18,5.0,-12.0,74.0,11.472432870363036
19,5.0,-12.0,78.0,7.431535742341566
20,5.0,-12.0,82.0,8.286883002028844
21,5.0,-12.0,86.0,13.42211923827108
22,5.0,-12.0,90.0,61.25388543054555
23,5.0,-12.0,94.0,247.37729393820018
24,5.0,-12.0,98.0,1260.481398013269
25,5.0,-12.0,102.0,2594.5943606942024
26,5.0,-12.0,106.0,9275.986649992517
27,5.0,-12.0,110.0,8248.234025520773
28,5.0,-12.0,114.0,6862.7611044203
29,5.0,-12.0,118.0,6845.027635749012
30,5.0,-12.0,122.0,7088.31340077154
31,5.0,-12.0,126.0,7152.739988858237
32,5.0,-12.0,130.0,7199.646713607066
33,5.0,-12.0,134.0,7245.7506971934645
34,5.0,-12.0,138.0,7288.352145096155
35,5.0,-12.0,142.0,7331.919681341503
36,5.0,-12.0,146.0,7373.0504881242
37,5.0,-12.0,150.0,7412.766199998977
38,5.0,-12.0,154.0,7452.035963195769
39,5.0,-12.0,158.0,7488.448156522942
40,5.0,-12.0,162.0,7525.63510912907
41,5.0,-12.0,166.0,7559.288187097834
42,5.0,-12.0,170.0,7594.2505896042785
43,5.0,-12.0,174.0,7625.627643959021
44,5.0,-12.0,178.0,7658.25253183916
45,5.0,-12.0,182.0,7687.779688470009
46,5.0,-12.0,186.0,7717.965361875301
47,5.0,-12.0,190.0,7746.008601317022
48,5.0,-12.0,194.0,7773.665788612938
49,5.0,-12.0,198.0,7800.540177860249
50,5.0,-12.0,202.0,7825.587648113697
51,5.0,-12.0,206.0,7851.56658331676
52,5.0,-12.0,210.0,7873.93093255595
53,5.0,-12.0,214.0,7899.252377918664
54,5.0,-12.0,218.0,7920.983763787248
55,5.0,-12.0,222.0,7943.739695126517
56,5.0,-12.0,226.0,7965.177098734343
57,5.0,-12.0,230.0,7985.152220268965
58,5.0,-12.0,234.0,8006.4622401065935
59,5.0,-12.0,238.0,8024.53229271638
60,5.0,-12.0,242.0,8044.928254347105
61,5.0,-12.0,246.0,8063.135318647774
62,5.0,-12.0,250.0,8080.654194309033
63,5.0,-12.0,254.0,8099.117981918979
64,5.0,-12.0,258.0,8114.602798303672
65,5.0,-12.0,262.0,8132.537826721631
66,5.0,-12.0,266.0,8148.47720851386
67,5.0,-12.0,270.0,8163.447009690294
68,5.0,-12.0,274.0,8179.928644080903
69,5.0,-12.0,278.0,8193.631240960287
70,5.0,-12.0,282.0,8208.995475667003
71,5.0,-12.0,286.0,8223.39195687416
72,5.0,-12.0,290.0,8235.713309501236
73,5.0,-12.0,294.0,8250.86874227665
74,5.0,-12.0,298.0,8263.402018982013
75,5.0,-12.0,302.0,8276.088136338622
76,5.0,-12.0,306.0,8289.498982394505
77,5.0,-12.0,310.0,8300.359651358669
78,5.0,-12.0,314.0,8313.412466054437
79,5.0,-12.0,318.0,8325.253135232913
80,5.0,-12.0,322.0,8335.161676686908
81,5.0,-12.0,326.0,8348.02297318138
82,5.0,-12.0,330.0,8358.444767098128
83,5.0,-12.0,334.0,8368.6837305752
84,5.0,-12.0,338.0,8380.208520453181
85,5.0,-12.0,342.0,8389.343435033503
86,5.0,-12.0,346.0,8399.908215173113
87,5.0,-12.0,350.0,8410.218355225928
88,5.0,-12.0,354.0,8418.182145986108
89,5.0,-12.0,358.0,8429.065998605267
90,5.0,-12.0,362.0,8438.268675492465
91,5.0,-12.0,366.0,8445.895432229732
92,5.0,-12.0,370.0,8456.357998598562
93,5.0,-12.0,374.0,8464.547931930078
94,5.0,-12.0,378.0,8472.457323338567
95,5.0,-12.0,382.0,8481.959886674773
96,5.0,-12.0,386.0,8489.221140983716
97,5.0,-12.0,390.0,8497.405015694958
98,5.0,-12.0,394.0,8506.02593280847
99,5.0,-12.0,398.0,8512.43341761787
100,5.0,-12.0,402.0,8520.882911788874
101,5.0,-12.0,406.0,8528.692168208174
0,7.0,-8.0,2.0,3038.0945943153656
1,7.0,-8.0,6.0,953.7529054470806
2,7.0,-8.0,10.0,538.4079147907617
3,7.0,-8.0,14.0,361.0726182212698
4,7.0,-8.0,18.0,263.467007366458
5,7.0,-8.0,22.0,201.81405649966067
6,7.0,-8.0,26.0,158.1853532883759
7,7.0,-8.0,30.0,125.38392113459196
8,7.0,-8.0,34.0,107.71110895424485
9,7.0,-8.0,38.0,111.77520733429702
10,7.0,-8.0,42.0,108.72641356129975
11,7.0,-8.0,46.0,34.62867564918426
12,7.0,-8.0,50.0,12.085119727167637
13,7.0,-8.0,54.0,4.96154635154511
14,7.0,-8.0,58.0,8.22721811233329
15,7.0,-8.0,62.0,10.365101199560911
16,7.0,-8.0,66.0,9.604312833921824
17,7.0,-8.0,70.0,8.696750741776782
18,7.0,-8.0,74.0,6.20469768342069
19,7.0,-8.0,78.0,3.8787101364068377
20,7.0,-8.0,82.0,3.318617225467335
21,7.0,-8.0,86.0,5.140330927577708
22,7.0,-8.0,90.0,8.103010695759139
23,7.0,-8.0,94.0,20.396459743388107
24,7.0,-8.0,98.0,43.766059487637676
25,7.0,-8.0,102.0,62.1467789452268
26,7.0,-8.0,106.0,68.74033737780394
27,7.0,-8.0,110.0,71.61461261784297
28,7.0,-8.0,114.0,69.64746162019253
29,7.0,-8.0,118.0,70.19089668380829
30,7.0,-8.0,122.0,71.56532048080422
31,7.0,-8.0,126.0,72.58744305627118
32,7.0,-8.0,130.0,73.3838041222512
33,7.0,-8.0,134.0,74.11121433764656
34,7.0,-8.0,138.0,74.82530155478173
35,7.0,-8.0,142.0,75.52865844973056
36,7.0,-8.0,146.0,76.21277171021568
37,7.0,-8.0,150.0,76.87256309840684
38,7.0,-8.0,154.0,77.52215743783708
39,7.0,-8.0,158.0,78.1484939538224
40,7.0,-8.0,162.0,78.7436969074129
41,7.0,-8.0,166.0,79.33011473282292
42,7.0,-8.0,170.0,79.88992585805654
43,7.0,-8.0,174.0,80.42528636398316
44,7.0,-8.0,178.0,80.9518595767944
45,7.0,-8.0,182.0,81.44550637245729
46,7.0,-8.0,186.0,81.93836051328951
47,7.0,-8.0,190.0,82.40084333754893
48,7.0,-8.0,194.0,82.85720856093803
49,7.0,-8.0,198.0,83.29035738885437
50,7.0,-8.0,202.0,83.71504884863157
51,7.0,-8.0,206.0,84.12037552640861
