,bw,loglambda,contam_data,IFnorm,IFnorm_lim
40,5.0,-8.0,450.0,271.2536784567402,293.0767458373677
41,5.0,-8.0,460.0,271.7064319393929,293.0767458373677
42,5.0,-8.0,470.0,272.1408892021401,293.0767458373677
43,5.0,-8.0,480.0,272.55813014246803,293.0767458373677
44,5.0,-8.0,490.0,272.9591519394631,293.0767458373677
45,5.0,-8.0,500.0,273.3448767578694,293.0767458373677
0,5.0,-10.0,50.0,128.17058456424814,2165.5162667344644
1,5.0,-10.0,60.0,141.82996140828817,2165.5162667344644
2,5.0,-10.0,70.0,152.4673805538462,2165.5162667344644
3,5.0,-10.0,80.0,85.86900135276949,2165.5162667344644
4,5.0,-10.0,90.0,117.38428077862368,2165.5162667344644
5,5.0,-10.0,100.0,664.725495027466,2165.5162667344644
6,5.0,-10.0,110.0,1497.6182218077313,2165.5162667344644
7,5.0,-10.0,120.0,1655.0840645649666,2165.5162667344644
8,5.0,-10.0,130.0,1685.522081159453,2165.5162667344644
9,5.0,-10.0,140.0,1711.2383218941059,2165.5162667344644
10,5.0,-10.0,150.0,1734.8202997261153,2165.5162667344644
11,5.0,-10.0,160.0,1756.4008069928718,2165.5162667344644
12,5.0,-10.0,170.0,1776.1489902380608,2165.5162667344644
13,5.0,-10.0,180.0,1794.2405595090818,2165.5162667344644
14,5.0,-10.0,190.0,1810.8437454810082,2165.5162667344644
15,5.0,-10.0,200.0,1826.113322245415,2165.5162667344644
16,5.0,-10.0,210.0,1840.1886878759024,2165.5162667344644
17,5.0,-10.0,220.0,1853.1939382907694,2165.5162667344644
18,5.0,-10.0,230.0,1865.2388628065119,2165.5162667344644
19,5.0,-10.0,240.0,1876.4203062851195,2165.5162667344644
20,5.0,-10.0,250.0,1886.8236150073683,2165.5162667344644
21,5.0,-10.0,260.0,1896.5240279026132,2165.5162667344644
22,5.0,-10.0,270.0,1905.5879514190124,2165.5162667344644
23,5.0,-10.0,280.0,1914.0740965193218,2165.5162667344644
24,5.0,-10.0,290.0,1922.0344767743115,2165.5162667344644
25,5.0,-10.0,300.0,1929.5152763463523,2165.5162667344644
26,5.0,-10.0,310.0,1936.5576007510222,2165.5162667344644
27,5.0,-10.0,320.0,1943.1981243697662,2165.5162667344644
28,5.0,-10.0,330.0,1949.4696482553156,2165.5162667344644
29,5.0,-10.0,340.0,1955.4015806409077,2165.5162667344644
30,5.0,-10.0,350.0,1961.0203511746176,2165.5162667344644
31,5.0,-10.0,360.0,1966.34976848145,2165.5162667344644
32,5.0,-10.0,370.0,1971.4113293214398,2165.5162667344644
33,5.0,-10.0,380.0,1976.2244864108075,2165.5162667344644
34,5.0,-10.0,390.0,1980.8068809196977,2165.5162667344644
35,5.0,-10.0,400.0,1985.1745447508092,2165.5162667344644
36,5.0,-10.0,410.0,1989.342076926575,2165.5162667344644
37,5.0,-10.0,420.0,1993.3227977534705,2165.5162667344644
38,5.0,-10.0,430.0,1997.128883874901,2165.5162667344644
39,5.0,-10.0,440.0,2000.7714868543399,2165.5162667344644
40,5.0,-10.0,450.0,2004.2608375345662,2165.5162667344644
41,5.0,-10.0,460.0,2007.6063380855385,2165.5162667344644
42,5.0,-10.0,470.0,2010.8166433724975,2165.5162667344644
43,5.0,-10.0,480.0,2013.8997330390096,2165.5162667344644
44,5.0,-10.0,490.0,2016.8629754995582,2165.5162667344644
45,5.0,-10.0,500.0,2019.713184867082,2165.5162667344644
0,5.0,-12.0,50.0,407.90040340489725,16001.086694267367
1,5.0,-12.0,60.0,416.10815813439626,16001.086694267367
2,5.0,-12.0,70.0,449.4201522575186,16001.086694267367
3,5.0,-12.0,80.0,245.3398264754177,16001.086694267367
4,5.0,-12.0,90.0,370.289624905523,16001.086694267367
5,5.0,-12.0,100.0,2965.475948470078,16001.086694267367
6,5.0,-12.0,110.0,14361.542888192687,16001.086694267367
7,5.0,-12.0,120.0,12129.002545232255,16001.086694267367
8,5.0,-12.0,130.0,12454.36298876157,16001.086694267367
9,5.0,-12.0,140.0,12644.392320977773,16001.086694267367
10,5.0,-12.0,150.0,12818.641471301842,16001.086694267367
11,5.0,-12.0,160.0,12978.101579024642,16001.086694267367
12,5.0,-12.0,170.0,13124.022485593254,16001.086694267367
13,5.0,-12.0,180.0,13257.702529784463,16001.086694267367
14,5.0,-12.0,190.0,13380.38478395139,16001.086694267367
15,5.0,-12.0,200.0,13493.212888093452,16001.086694267367
