,contam,uncontamf,contamf,sup
0,5.0,2.4004110510140944,2.3877700354314184,93.47951826373446
1,10.0,2.4004110510140944,2.3879766043212634,100.1136488279073
2,15.0,2.4004110510140944,2.387565532400945,100.32845685585912
3,20.0,2.4004110510140944,2.3861427631424745,99.99971315018286
4,25.0,2.4004110510140944,2.3829399187797864,98.50777334986205
5,30.0,2.4004110510140944,2.3787877909464044,93.22056791514832
6,35.0,2.4004110510140944,2.3781931069792517,79.16284815055086
7,40.0,2.4004110510140944,2.385702862771513,53.35683100526367
8,45.0,2.4004110510140944,2.397498890892195,23.719962883109957
9,50.0,2.4004110510140944,2.403869982083551,6.850204170723018
10,55.0,2.4004110510140944,2.4019410051359587,5.454559948138371
11,60.0,2.4004110510140944,2.396959670896892,8.44576740013192
12,65.0,2.4004110510140944,2.3948962191040897,10.43475523368631
13,70.0,2.4004110510140944,2.3976965182306698,7.837397499455889
14,75.0,2.4004110510140944,2.4006835827538575,3.9256390882838055
15,80.0,2.4004110510140944,2.4004871617033667,2.8210659902101476
16,85.0,2.4004110510140944,2.401242206351105,3.7695765577709928
17,90.0,2.4004110510140944,2.4022096828179693,7.947591539220866
18,95.0,2.4004110510140944,2.394126050072071,21.415684698673942
19,100.0,2.4004110510140944,2.3767132213769546,42.411368971368546
20,105.0,2.4004110510140944,2.3624290743252376,61.37526987428199
21,110.0,2.4004110510140944,2.3596422802197785,74.05962012166967
22,115.0,2.4004110510140944,2.365205957584969,82.310986571132
23,120.0,2.4004110510140944,2.3726075097773816,88.2468958594167
24,125.0,2.4004110510140944,2.3785471606390747,92.85235133483916
25,130.0,2.4004110510140944,2.3825862684654715,96.24113880671281
26,135.0,2.4004110510140944,2.385146506735597,98.33011465819474
27,140.0,2.4004110510140944,2.3866567563526413,99.44974679092056
28,145.0,2.4004110510140944,2.3874608095352703,99.99718089481746
29,150.0,2.4004110510140944,2.3878407550370038,100.23560891284689
30,155.0,2.4004110510140944,2.388001744628534,100.31704699829547
31,160.0,2.4004110510140944,2.3880669779536525,100.34403928766622
32,165.0,2.4004110510140944,2.3880965322204863,100.36907158533026
33,170.0,2.4004110510140944,2.3881126119217155,100.38717809696607
34,175.0,2.4004110510140944,2.3881212829419325,100.39283390107911
35,180.0,2.4004110510140944,2.388125048079589,100.39375387496463
36,185.0,2.4004110510140944,2.3881262381092325,100.39431011864863
37,190.0,2.4004110510140944,2.388126502868511,100.39365013857804
38,195.0,2.4004110510140944,2.3881265441502992,100.39447974882165
39,200.0,2.4004110510140944,2.3881265486717105,100.39331083167014
40,205.0,2.4004110510140944,2.388126549018544,100.39457816156272
41,210.0,2.4004110510140944,2.3881265490368135,100.3929180430454
42,215.0,2.4004110510140944,2.3881265490374273,100.39462489335804
43,220.0,2.4004110510140944,2.388126549037436,100.39255601020969
44,225.0,2.4004110510140944,2.3881265490374357,100.3946203824313
45,230.0,2.4004110510140944,2.3881265490374357,100.39299112942501
46,235.0,2.4004110510140944,2.3881265490374357,100.3945646746871
47,240.0,2.4004110510140944,2.3881265490374357,100.39337505863699
48,245.0,2.4004110510140944,2.3881265490374357,100.39445777506728
49,250.0,2.4004110510140944,2.3881265490374357,100.39370779865209
50,255.0,2.4004110510140944,2.3881265490374357,100.39429968427527
51,260.0,2.4004110510140944,2.3881265490374357,100.39398934896582
52,265.0,2.4004110510140944,2.3881265490374357,100.39409040265213
53,270.0,2.4004110510140944,2.3881265490374357,100.39421970905238
54,275.0,2.4004110510140944,2.3881265490374357,100.39382993060997
55,280.0,2.4004110510140944,2.3881265490374384,100.39439887846413
56,285.0,2.4004110510140944,2.3881265490378594,100.39351826865328
57,290.0,2.4004110510140944,2.388126548436826,100.39452668692661
58,295.0,2.4004110510140944,2.388126342059057,100.3927539929137
59,300.0,2.4004110510140944,2.3881122281074525,100.28072117651021
60,305.0,2.4004110510140944,2.3878981705778477,96.18124357184854
